entry_time,exit_time,month,direction,entry_price,exit_price,pnl,bars,exit_reason,dist_atr_entry,score_entry,factors_entry,regime_entry
2024-01-15 18:00,2024-01-16 13:00,2024-01,BUY,2049.89,2050.96,-0.39,19,reverse_signal,-2.25,3,"KDJ-OS,KC-BOT,LOW-VOL",ranging
2024-01-16 13:00,2024-01-16 17:00,2024-01,SELL,2050.96,2051.84,-0.59,4,reverse_signal,0.23,3,"KDJ-OB,TOP-DIV",ranging
2024-01-16 17:00,2024-01-16 19:00,2024-01,BUY,2051.84,2045.93,-1.09,2,hard_stop,0.43,3,"DIVERG,LOW-VOL",ranging
2024-01-16 20:00,2024-01-17 18:00,2024-01,BUY,2043.91,2050.36,0.15,22,reverse_signal,-2.03,4,"KDJ-OS,DIVERG,LOW-VOL",ranging
2024-01-17 18:00,2024-01-17 21:00,2024-01,SELL,2050.36,2058.24,-1.29,3,hard_stop,0.68,3,"KDJ-OB,TOP-DIV",ranging
2024-01-17 22:00,2024-01-18 17:00,2024-01,SELL,2058.88,2049.02,0.49,19,reverse_signal,3.33,4,"KDJ-OB,KC-TOP,TOP-DIV",ranging
2024-01-18 17:00,2024-01-19 05:00,2024-01,BUY,2049.02,2061.43,0.74,12,reverse_signal,-0.93,4,"KDJ-OS,DIVERG,LOW-VOL",ranging
2024-01-19 05:00,2024-01-19 08:00,2024-01,SELL,2061.43,2061.79,-0.54,3,reverse_signal,3.61,3,"KDJ-OB,KC-TOP,RSI-OB",ranging
2024-01-19 08:00,2024-01-22 09:00,2024-01,BUY,2061.79,2067.09,0.03,25,reverse_signal,2.96,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-01-22 09:00,2024-01-22 17:00,2024-01,SELL,2067.09,2061.36,0.07,8,reverse_signal,1.03,3,"KDJ-OB,TOP-DIV",ranging
2024-01-22 17:00,2024-01-22 19:00,2024-01,BUY,2061.36,2055.0,-1.14,2,hard_stop,-1.19,3,"TREND+,KDJ-OS,LOW-VOL",ranging
2024-01-22 20:00,2024-01-24 19:00,2024-01,BUY,2059.43,2062.99,-0.14,47,reverse_signal,-1.23,7,"TREND+,KDJ-OS,BB-BOT,KC-BOT,DIVERG,LOW-VOL",ranging
2024-01-24 19:00,2024-01-25 01:00,2024-01,SELL,2062.99,2063.95,-0.6,6,reverse_signal,0.07,3,"KDJ-OB,TOP-DIV",ranging
2024-01-25 01:00,2024-01-25 22:00,2024-01,BUY,2063.95,2062.77,-0.62,21,reverse_signal,0.36,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-01-25 22:00,2024-01-26 01:00,2024-01,SELL,2062.77,2063.23,-0.55,3,reverse_signal,0.1,3,"KDJ-OB,TOP-DIV",ranging
2024-01-26 01:00,2024-01-26 16:00,2024-01,BUY,2063.23,2057.49,-1.07,15,hard_stop,0.39,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-01-26 17:00,2024-01-27 04:00,2024-01,BUY,2054.23,2063.53,0.43,11,reverse_signal,-3.91,7,"KDJ-OS,BB-BOT,KC-BOT,DIVERG,RSI-OS,LOW-VOL",ranging
2024-01-27 04:00,2024-01-27 05:00,2024-01,SELL,2063.53,2065.53,-0.7,1,reverse_signal,0.54,3,"KDJ-OB,TOP-DIV",ranging
2024-01-27 05:00,2024-01-29 16:00,2024-01,BUY,2065.53,2065.44,-0.51,11,reverse_signal,1.24,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-01-29 16:00,2024-01-29 21:00,2024-01,SELL,2065.44,2069.42,-0.9,5,reverse_signal,1.11,3,"KDJ-OB,TOP-DIV",ranging
2024-01-29 21:00,2024-01-30 01:00,2024-01,BUY,2069.42,2063.74,-1.07,4,hard_stop,1.91,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-01-30 02:00,2024-01-31 14:00,2024-01,BUY,2060.81,2053.95,-1.19,36,hard_stop,-1.6,4,"KDJ-OS,DIVERG,LOW-VOL",ranging
2024-01-31 15:00,2024-01-31 23:00,2024-01,BUY,2055.03,2049.93,-1.01,8,hard_stop,-2.45,4,"KDJ-OS,BB-BOT,KC-BOT,LOW-VOL",ranging
2024-02-01 00:00,2024-02-02 08:00,2024-02,BUY,2051.61,2055.86,-0.08,32,reverse_signal,-2.06,5,"KDJ-OS,KC-BOT,DIVERG,LOW-VOL",ranging
2024-02-02 08:00,2024-02-02 10:00,2024-02,SELL,2055.86,2054.21,-0.33,2,reverse_signal,1.59,3,"KDJ-OB,TOP-DIV",ranging
2024-02-02 10:00,2024-02-02 23:00,2024-02,BUY,2054.21,2057.57,-0.16,13,reverse_signal,0.7,3,"DIVERG,LOW-VOL",ranging
2024-02-02 23:00,2024-02-03 07:00,2024-02,SELL,2057.57,2054.3,-0.17,8,reverse_signal,0.58,3,"KDJ-OB,TOP-DIV",ranging
2024-02-03 07:00,2024-02-05 10:00,2024-02,BUY,2054.3,2048.87,-1.04,3,hard_stop,-0.51,4,"KDJ-OS,DIVERG,LOW-VOL",ranging
2024-02-05 11:00,2024-02-05 13:00,2024-02,BUY,2045.33,2038.61,-1.17,2,hard_stop,-3.65,7,"KDJ-OS,BB-BOT,KC-BOT,DIVERG,RSI-OS,LOW-VOL",ranging
2024-02-05 14:00,2024-02-06 17:00,2024-02,BUY,2038.75,2032.12,-1.16,27,hard_stop,-4.9,6,"KDJ-OS,KC-BOT,DIVERG,RSI-OS,LOW-VOL",ranging
2024-02-06 18:00,2024-02-06 22:00,2024-02,BUY,2032.34,2027.54,-0.98,4,hard_stop,-2.71,3,"KDJ-OS,KC-BOT,LOW-VOL",ranging
2024-02-06 23:00,2024-02-08 03:00,2024-02,BUY,2025.63,2031.45,0.08,28,reverse_signal,-3.84,4,"KDJ-OS,KC-BOT,RSI-OS,LOW-VOL",ranging
2024-02-08 03:00,2024-02-08 07:00,2024-02,SELL,2031.45,2026.75,-0.03,4,reverse_signal,-0.3,3,"KDJ-OB,TOP-DIV",ranging
2024-02-08 07:00,2024-02-08 13:00,2024-02,BUY,2026.75,2029.68,-0.21,6,reverse_signal,-1.76,3,"KDJ-OS,BB-BOT,LOW-VOL",ranging
2024-02-08 13:00,2024-02-08 14:00,2024-02,SELL,2029.68,2030.38,-0.57,1,reverse_signal,-0.52,3,"KDJ-OB,TOP-DIV",ranging
2024-02-08 14:00,2024-02-09 17:00,2024-02,BUY,2030.38,2046.02,1.06,27,reverse_signal,-0.22,3,"DIVERG,LOW-VOL",ranging
2024-02-09 17:00,2024-02-10 05:00,2024-02,SELL,2046.02,2038.91,0.21,12,reverse_signal,2.96,3,"KDJ-OB,KC-TOP,RSI-OB",ranging
2024-02-10 05:00,2024-02-13 20:00,2024-02,BUY,2038.91,2050.97,0.71,39,reverse_signal,-0.34,4,"KDJ-OS,DIVERG,LOW-VOL",ranging
2024-02-13 20:00,2024-02-14 04:00,2024-02,SELL,2050.97,2049.57,-0.36,8,reverse_signal,1.9,3,"KDJ-OB,TOP-DIV",ranging
2024-02-14 04:00,2024-02-14 06:00,2024-02,BUY,2049.57,2044.1,-1.05,2,hard_stop,0.72,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-02-14 07:00,2024-02-14 17:00,2024-02,BUY,2040.12,2034.37,-1.08,10,hard_stop,-2.74,6,"KDJ-OS,BB-BOT,KC-BOT,DIVERG,LOW-VOL",ranging
2024-02-14 18:00,2024-02-16 03:00,2024-02,BUY,2033.61,2040.56,0.2,33,reverse_signal,-3.1,5,"KDJ-OS,KC-BOT,DIVERG,LOW-VOL",ranging
2024-02-16 03:00,2024-02-16 16:00,2024-02,SELL,2040.56,2034.08,0.15,13,reverse_signal,0.56,3,"KDJ-OB,TOP-DIV",ranging
2024-02-16 16:00,2024-02-19 13:00,2024-02,BUY,2034.08,2043.65,0.46,21,reverse_signal,-1.09,4,"KDJ-OS,DIVERG,LOW-VOL",ranging
2024-02-19 13:00,2024-02-19 15:00,2024-02,SELL,2043.65,2040.02,-0.14,2,reverse_signal,0.32,4,"KDJ-OB,KC-TOP,TOP-DIV",ranging
2024-02-19 15:00,2024-02-19 19:00,2024-02,BUY,2040.02,2033.34,-1.17,4,hard_stop,-1.0,3,"TREND+,KDJ-OS,LOW-VOL",ranging
2024-02-19 20:00,2024-02-20 14:00,2024-02,BUY,2036.2,2052.01,1.08,18,reverse_signal,-1.44,3,"KDJ-OS,KC-BOT,LOW-VOL",ranging
2024-02-20 14:00,2024-02-20 15:00,2024-02,SELL,2052.01,2053.48,-0.65,1,reverse_signal,1.46,3,"KDJ-OB,TOP-DIV",ranging
2024-02-20 15:00,2024-02-20 18:00,2024-02,BUY,2053.48,2054.12,-0.44,3,reverse_signal,1.77,4,"TREND+,DIVERG,LOW-VOL",ranging
2024-02-20 18:00,2024-02-20 23:00,2024-02,SELL,2054.12,2051.14,-0.2,5,reverse_signal,1.65,3,"KDJ-OB,TOP-DIV",ranging
2024-02-20 23:00,2024-02-22 13:00,2024-02,BUY,2051.14,2080.24,2.41,38,reverse_signal,0.18,3,"TREND+,KDJ-OS,LOW-VOL",ranging
2024-02-22 13:00,2024-02-22 19:00,2024-02,SELL,2080.24,2075.84,-0.06,6,reverse_signal,5.09,3,"KDJ-OB,KC-TOP,RSI-OB",ranging
2024-02-22 19:00,2024-02-23 03:00,2024-02,BUY,2075.84,2075.35,-0.55,8,reverse_signal,1.81,3,"TREND+,KDJ-OS,LOW-VOL",ranging
2024-02-23 03:00,2024-02-23 04:00,2024-02,SELL,2075.35,2077.17,-0.68,1,reverse_signal,0.9,3,"KDJ-OB,TOP-DIV",ranging
