形态,时间,TF数量,有M30,有M15,入场价,止损价,盈亏,盈亏ATR,止损命中,胜
CDLSHORTLINE,2024-06-18 04:00,1,False,False,2333.6,2343.36,-5.4,-1.05,N,N
CDLSHORTLINE,2024-06-18 22:00,1,False,False,2338.3,2349.04,-6.3,-1.003,N,N
CDLSHORTLINE,2024-06-19 03:00,1,False,False,2344.1,2354.43,1.1,0.214,N,Y
CDLSHORTLINE,2024-06-19 06:00,1,False,False,2342.9,2352.38,-1.8,-0.369,N,N
CDLSHORTLINE,2024-06-21 06:00,1,False,False,2372.7,2382.98,-0.5,-0.089,N,N
CDLSHORTLINE,2024-06-25 03:00,1,False,False,2344.6,2353.91,1.3,0.272,N,Y
CDLSHORTLINE,2024-06-28 00:00,1,False,False,2336.2,2345.54,-0.6,-0.122,N,N
CDLSHORTLINE,2024-06-28 03:00,1,False,False,2336.8,2345.42,-1.4,-0.318,N,N
CDLSHORTLINE,2024-06-28 06:00,1,False,False,2337.4,2345.48,6.3,1.354,N,Y
CDLSHORTLINE,2024-07-02 06:00,1,False,False,2341.3,2350.53,-2.1,-0.454,N,N
CDLSHORTLINE,2024-07-03 04:00,1,False,False,2338.6,2348.11,-0.8,-0.169,N,N
CDLSHORTLINE,2024-07-08 06:00,1,False,False,2393.5,2405.89,-1.2,-0.184,N,N
CDLSHORTLINE,2024-07-08 11:00,1,False,False,2390.6,2401.57,5.6,0.92,N,Y
CDLSHORTLINE,2024-07-12 11:00,1,False,False,2414.2,2424.81,4.6,0.806,N,Y
CDLSHORTLINE,2024-07-12 12:00,1,False,False,2414.0,2424.07,4.6,0.81,N,Y
CDLSHORTLINE,2024-07-13 03:00,1,False,False,2417.7,2427.72,4.5,0.815,N,Y
CDLSHORTLINE,2024-07-13 04:00,1,False,False,2416.0,2425.57,2.8,0.526,N,Y
CDLSHORTLINE,2024-07-16 03:00,1,False,False,2426.0,2437.09,-1.1,-0.199,N,N
CDLSHORTLINE,2024-07-16 06:00,1,False,False,2425.7,2435.89,-6.2,-1.138,N,N
CDLSHORTLINE,2024-07-16 08:00,1,False,False,2425.8,2435.15,-9.35,-1.74,Y,N
CDLSHORTLINE,2024-07-16 18:00,1,False,False,2444.8,2454.28,-2.7,-0.397,N,N
CDLSHORTLINE,2024-07-24 06:00,1,False,False,2410.2,2419.39,1.0,0.201,N,Y
CDLSHORTLINE,2024-07-24 07:00,1,False,False,2409.3,2418.03,-6.0,-1.134,N,N
CDLSHORTLINE,2024-07-24 08:00,1,False,False,2409.1,2417.49,-8.39,-1.587,Y,N
CDLSHORTLINE,2024-07-30 23:00,1,False,False,2430.1,2469.21,-20.0,-1.002,N,N
CDLSHORTLINE,2024-08-02 06:00,1,False,False,2489.4,2503.32,-2.2,-0.268,N,N
CDLSHORTLINE,2024-08-09 07:00,1,False,False,2463.8,2475.56,1.9,0.289,N,Y
CDLSHORTLINE,2024-08-09 08:00,1,False,False,2463.0,2474.3,2.2,0.344,N,Y
CDLSHORTLINE,2024-08-09 17:00,1,False,False,2462.6,2472.91,-6.4,-1.02,N,N
CDLSHORTLINE,2024-08-10 03:00,1,False,False,2468.6,2479.91,1.8,0.302,N,Y
CDLSHORTLINE,2024-08-14 01:00,1,False,False,2507.3,2518.93,2.4,0.39,N,Y
CDLSHORTLINE,2024-08-14 04:00,1,False,False,2504.9,2515.67,-0.3,-0.054,N,N
CDLSHORTLINE,2024-08-14 06:00,1,False,False,2505.1,2515.55,0.2,0.035,N,Y
CDLSHORTLINE,2024-08-14 07:00,1,False,False,2503.6,2513.64,4.4,0.719,N,Y
CDLSHORTLINE,2024-08-16 00:00,1,False,False,2493.2,2507.57,-0.3,-0.04,N,N
CDLSHORTLINE,2024-08-16 01:00,1,False,False,2493.2,2506.95,-1.3,-0.18,N,N
CDLSHORTLINE,2024-08-20 04:00,1,False,False,2542.6,2553.72,-0.4,-0.071,N,N
CDLSHORTLINE,2024-08-20 07:00,1,False,False,2541.8,2551.94,4.4,0.783,N,Y
CDLSHORTLINE,2024-08-21 04:00,1,False,False,2552.1,2564.66,0.4,0.063,N,Y
CDLSHORTLINE,2024-08-21 07:00,1,False,False,2551.1,2562.66,-6.4,-1.031,N,N
CDLSHORTLINE,2024-08-22 07:00,1,False,False,2549.7,2560.92,10.8,1.677,N,Y
CDLSHORTLINE,2024-08-24 02:00,1,False,False,2545.4,2556.86,-3.0,-0.485,N,N
CDLSHORTLINE,2024-08-26 08:00,1,False,False,2549.0,2559.34,3.8,0.686,N,Y
CDLSHORTLINE,2024-08-26 12:00,1,False,False,2545.0,2554.28,-9.28,-1.74,Y,N
CDLSHORTLINE,2024-08-27 02:00,1,False,False,2552.6,2562.84,0.0,0.0,N,N
CDLSHORTLINE,2024-08-27 04:00,1,False,False,2553.6,2563.14,5.3,1.073,N,Y
CDLSHORTLINE,2024-08-27 06:00,1,False,False,2552.6,2561.73,7.5,1.502,N,Y
CDLSHORTLINE,2024-08-28 04:00,1,False,False,2560.0,2570.42,0.2,0.038,N,Y
CDLSHORTLINE,2024-08-28 08:00,1,False,False,2559.8,2569.12,8.8,1.643,N,Y
CDLSHORTLINE,2024-08-30 03:00,1,False,False,2554.4,2565.75,1.8,0.325,N,Y
CDLSHORTLINE,2024-08-30 07:00,1,False,False,2552.6,2562.3,3.2,0.608,N,Y
CDLSHORTLINE,2024-09-05 01:00,1,False,False,2525.4,2537.51,-1.1,-0.175,N,N
CDLSHORTLINE,2024-09-05 06:00,1,False,False,2525.4,2535.85,-1.2,-0.223,N,N
CDLSHORTLINE,2024-09-05 08:00,1,False,False,2525.2,2534.68,0.4,0.078,N,Y
CDLSHORTLINE,2024-09-06 03:00,1,False,False,2545.2,2555.28,-2.0,-0.402,N,N
CDLSHORTLINE,2024-09-06 06:00,1,False,False,2546.1,2555.24,2.6,0.558,N,Y
CDLSHORTLINE,2024-09-06 08:00,1,False,False,2545.9,2554.23,-1.8,-0.404,N,N
CDLSHORTLINE,2024-09-10 06:00,1,False,False,2535.9,2545.9,3.4,0.658,N,Y
CDLSHORTLINE,2024-09-10 07:00,1,False,False,2535.6,2545.13,3.6,0.728,N,Y
CDLSHORTLINE,2024-09-10 08:00,1,False,False,2534.1,2543.28,2.8,0.583,N,Y
CDLSHORTLINE,2024-09-11 01:00,1,False,False,2541.9,2551.45,-3.8,-0.761,N,N
CDLSHORTLINE,2024-09-11 04:00,1,False,False,2545.7,2554.44,0.4,0.09,N,Y
CDLSHORTLINE,2024-09-11 06:00,1,False,False,2545.4,2553.63,-2.3,-0.488,N,N
CDLSHORTLINE,2024-09-11 08:00,1,False,False,2545.3,2553.06,-2.9,-0.647,N,N
CDLSHORTLINE,2024-09-16 07:00,1,False,False,2607.0,2616.7,-6.1,-1.178,N,N
CDLSHORTLINE,2024-09-17 02:00,1,False,False,2608.6,2618.2,-1.5,-0.309,N,N
CDLSHORTLINE,2024-09-20 02:00,1,False,False,2613.5,2628.11,1.2,0.166,N,Y
CDLSHORTLINE,2024-09-20 04:00,1,False,False,2611.7,2625.12,-1.1,-0.169,N,N
CDLSHORTLINE,2024-09-20 07:00,1,False,False,2611.8,2623.74,-4.9,-0.767,N,N
CDLSHORTLINE,2024-09-23 07:00,1,False,False,2644.8,2655.78,-5.3,-0.858,N,N
CDLSHORTLINE,2024-09-23 08:00,1,False,False,2643.2,2653.66,-10.46,-1.69,Y,N
CDLSHORTLINE,2024-09-24 01:00,1,False,False,2653.0,2663.45,-0.4,-0.075,N,N
CDLSHORTLINE,2024-09-24 02:00,1,False,False,2652.3,2662.38,0.2,0.039,N,Y
CDLSHORTLINE,2024-09-24 03:00,1,False,False,2651.0,2660.64,-0.1,-0.021,N,N
CDLSHORTLINE,2024-09-24 06:00,1,False,False,2652.1,2661.08,-1.8,-0.376,N,N
CDLSHORTLINE,2024-09-24 07:00,1,False,False,2651.1,2659.64,-2.7,-0.582,N,N
CDLSHORTLINE,2024-09-25 07:00,1,False,False,2682.9,2694.17,-11.27,-1.662,Y,N
CDLSHORTLINE,2024-09-25 12:00,1,False,False,2683.2,2695.17,2.1,0.311,N,Y
CDLSHORTLINE,2024-09-25 18:00,1,False,False,2679.8,2690.76,-10.96,-1.772,Y,N
CDLSHORTLINE,2024-09-26 02:00,1,False,False,2684.7,2696.64,2.9,0.48,N,Y
CDLSHORTLINE,2024-09-26 03:00,1,False,False,2683.8,2695.15,4.0,0.682,N,Y
CDLSHORTLINE,2024-09-26 04:00,1,False,False,2681.3,2692.34,-1.3,-0.223,N,N
CDLSHORTLINE,2024-09-26 07:00,1,False,False,2679.8,2690.07,-1.6,-0.284,N,N
CDLSHORTLINE,2024-09-26 12:00,1,False,False,2683.8,2693.2,-3.8,-0.707,N,N
CDLSHORTLINE,2024-09-27 03:00,1,False,False,2696.6,2710.47,1.7,0.253,N,Y
CDLSHORTLINE,2024-09-27 04:00,1,False,False,2695.1,2708.38,3.1,0.478,N,Y
CDLSHORTLINE,2024-09-27 06:00,1,False,False,2694.7,2707.2,2.8,0.431,N,Y
CDLSHORTLINE,2024-09-27 08:00,1,False,False,2692.0,2703.36,-4.1,-0.657,N,N
CDLSHORTLINE,2024-10-02 06:00,1,False,False,2683.0,2696.01,1.4,0.207,N,Y
CDLSHORTLINE,2024-10-02 07:00,1,False,False,2681.2,2693.55,0.1,0.015,N,Y
CDLSHORTLINE,2024-10-02 08:00,1,False,False,2678.5,2690.41,2.0,0.309,N,Y
CDLSHORTLINE,2024-10-02 10:00,1,False,False,2681.1,2692.4,12.1,1.808,N,Y
CDLSHORTLINE,2024-10-03 06:00,1,False,False,2679.7,2690.76,0.9,0.154,N,Y
CDLSHORTLINE,2024-10-04 01:00,1,False,False,2676.9,2690.43,1.0,0.147,N,Y
CDLSHORTLINE,2024-10-04 04:00,1,False,False,2675.9,2687.79,-1.1,-0.185,N,N
CDLSHORTLINE,2024-10-04 07:00,1,False,False,2675.4,2686.3,-6.4,-1.121,N,N
CDLSHORTLINE,2024-10-04 16:00,1,False,False,2679.1,2688.38,-2.3,-0.453,N,N
CDLSHORTLINE,2024-10-11 06:00,1,False,False,2645.5,2657.44,-9.5,-1.475,N,N
CDLSHORTLINE,2024-10-12 03:00,1,False,False,2672.9,2683.72,8.2,1.314,N,Y
