形态,方向,过滤器,原始信号,过滤后,交易数,胜,负,胜率%,随机胜率%,Z值,显著,平均盈亏,盈亏/ATR,盈亏比,止损率%,平均波动$
CDLSHORTLINE,bear,rsi_mid_overbought,443,80,80,52,28,65.0,45.9,3.43,Y,8.43,0.3,1.99,11.2,25.23
CDLHARAMI,bear,rsi_mid_overbought,126,30,30,22,8,73.3,47.7,2.81,Y,12.46,0.45,2.97,10.0,29.72
CDLSHORTLINE,bull,atr_low,443,318,318,173,145,54.4,46.6,2.79,Y,2.35,0.079,1.24,15.7,22.59
CDLSHORTLINE,bull,none,443,440,440,240,200,54.5,49.0,2.35,Y,2.08,0.088,1.18,15.0,26.34
CDLSHORTLINE,bull,trend_up,443,221,221,126,95,57.0,49.5,2.25,Y,3.48,0.136,1.34,13.1,26.38
CDLSPINNINGTOP,bear,rsi_mid_overbought,508,104,104,62,42,59.6,48.8,2.22,Y,4.09,0.185,1.47,12.5,22.37
CDLSHORTLINE,bull,rsi_overbought,443,27,27,18,9,66.7,47.8,1.96,Y,11.64,0.384,3.51,3.7,20.81
CDL3OUTSIDE,bear,trend_down,131,70,70,38,32,54.3,43.6,1.81,Y,4.07,0.168,1.52,8.6,19.96
CDLMARUBOZU,bull,atr_low,100,65,65,40,25,61.5,50.5,1.79,Y,0.73,0.033,1.08,16.9,22.9
CDLLONGLINE,bull,rsi_overbought,412,26,26,16,10,61.5,44.2,1.78,Y,23.47,0.743,3.98,11.5,40.62
CDLHARAMI,bull,trend_up,126,54,54,34,20,63.0,51.1,1.74,Y,8.48,0.276,2.14,14.8,26.7
CDLHARAMICROSS,bull,trend_up,35,19,19,13,6,68.4,48.4,1.74,Y,11.98,0.269,3.04,10.5,25.45
CDLLONGLINE,bear,rsi_oversold,412,26,26,16,10,61.5,45.0,1.7,Y,16.38,0.206,2.4,23.1,43.74
CDLSPINNINGTOP,bull,none,508,508,508,263,245,51.8,48.0,1.7,Y,2.54,0.078,1.26,16.3,23.1
CDLSPINNINGTOP,bull,trend_up,508,247,247,133,114,53.8,48.5,1.69,Y,2.6,0.072,1.29,16.6,21.92
CDLGRAVESTONEDOJI,bear,atr_low,58,39,39,24,15,61.5,49.0,1.57,N,3.77,0.171,1.48,10.3,20.56
CDL3OUTSIDE,bull,none,131,131,131,71,60,54.2,47.7,1.49,N,2.67,0.105,1.29,13.0,22.05
