形态,方向,过滤器,原始信号,过滤后,交易数,胜,负,胜率%,随机胜率%,Z值,显著,平均盈亏,盈亏/ATR,盈亏比,止损率%,平均波动$
CDLSHORTLINE,bear,rsi_mid_overbought,443,80,80,49,31,61.3,46.5,2.65,Y,11.44,0.416,2.19,17.5,25.23
CDL3OUTSIDE,bear,trend_down,131,70,70,40,30,57.1,44.6,2.12,Y,8.53,0.304,1.86,14.3,19.96
CDLSPINNINGTOP,bull,trend_up,508,247,247,135,112,54.7,48.9,1.79,Y,4.89,0.136,1.47,21.1,21.92
CDLHARAMI,bear,rsi_mid_overbought,126,30,30,19,11,63.3,47.3,1.76,Y,15.18,0.487,2.99,13.3,29.72
CDLHIGHWAVE,bull,trend_up,298,150,150,85,65,56.7,49.7,1.71,Y,6.73,0.191,1.68,18.0,21.13
CDLXSIDEGAP3METHODS,bull,atr_low,40,29,29,17,12,58.6,43.4,1.65,Y,7.11,0.055,1.66,20.7,22.22
CDLLONGLINE,bear,rsi_oversold,412,26,26,15,11,57.7,42.7,1.55,N,13.96,0.152,2.0,26.9,43.74
CDLSPINNINGTOP,bear,rsi_mid_overbought,508,104,104,62,42,59.6,52.1,1.53,N,7.79,0.298,1.76,19.2,22.37
CDLLONGLINE,bull,rsi_overbought,412,26,26,17,9,65.4,50.8,1.49,N,27.97,0.907,4.71,15.4,40.62
CDLHIGHWAVE,bear,rsi_mid_overbought,298,63,63,37,26,58.7,49.7,1.44,N,7.19,0.241,1.68,19.0,23.07
CDLSHORTLINE,bull,atr_low,443,318,318,163,155,51.3,47.3,1.42,N,2.38,0.047,1.21,22.3,22.59
CDLSPINNINGTOP,bull,none,508,508,508,266,242,52.4,49.3,1.38,N,3.23,0.09,1.28,21.7,23.1
CDLSHORTLINE,bull,rsi_mid_oversold,443,99,99,55,44,55.6,49.1,1.29,N,2.78,0.127,1.2,22.2,26.11
CDL3OUTSIDE,bull,none,131,131,131,68,63,51.9,46.4,1.26,N,5.37,0.175,1.48,18.3,22.05
CDLDOJI,bull,trend_down,346,165,165,86,79,52.1,47.2,1.26,N,2.61,-0.017,1.24,24.8,22.09
CDLHARAMICROSS,bull,atr_low,35,26,26,17,9,65.4,53.1,1.26,N,17.17,0.476,5.36,3.8,19.81
CDLSHORTLINE,bull,rsi_overbought,443,27,27,15,12,55.6,43.7,1.24,N,2.98,0.099,1.25,22.2,20.81
CDLHIKKAKE,bear,rsi_mid_overbought,338,77,77,45,32,58.4,51.4,1.23,N,-0.34,0.064,0.97,15.6,23.78
CDLRICKSHAWMAN,bull,atr_high,257,63,63,35,28,55.6,48.1,1.19,N,8.63,0.16,1.83,19.0,24.16
CDL3OUTSIDE,bear,atr_high,131,32,32,19,13,59.4,49.1,1.17,N,19.47,0.415,3.32,12.5,25.94
CDLDOJI,bull,rsi_oversold,346,20,20,10,10,50.0,37.5,1.15,N,3.17,-0.199,1.2,50.0,27.13
CDLSHOOTINGSTAR,bear,none,29,29,29,16,13,55.2,45.2,1.08,N,1.25,0.197,1.1,10.3,20.7
CDLHARAMI,bear,atr_low,126,88,88,48,40,54.5,48.9,1.07,N,7.21,0.202,1.74,20.5,24.19
CDLLONGLEGGEDDOJI,bull,trend_down,345,165,165,86,79,52.1,48.2,1.01,N,2.61,-0.017,1.24,24.8,22.09
CDLBELTHOLD,bull,rsi_overbought,358,21,21,13,8,61.9,51.0,1.0,N,15.65,0.538,2.88,14.3,31.24
CDLHIKKAKE,bull,atr_low,338,230,230,123,107,53.5,50.3,0.98,N,1.77,0.072,1.15,20.4,22.47
CDLSPINNINGTOP,bear,atr_low,508,365,365,188,177,51.5,49.0,0.97,N,3.13,0.069,1.3,21.1,21.68
CDLHIKKAKE,bear,trend_up,338,162,162,87,75,53.7,50.1,0.93,N,-0.73,0.001,0.94,20.4,23.42
CDLHARAMI,bull,trend_up,126,54,54,31,23,57.4,51.3,0.9,N,10.22,0.324,2.05,22.2,26.7
CDLSHOOTINGSTAR,bear,trend_up,29,16,16,10,6,62.5,51.2,0.9,N,-0.28,0.092,0.98,12.5,23.76
CDLRICKSHAWMAN,bull,trend_down,257,125,125,64,61,51.2,47.4,0.84,N,1.32,-0.075,1.12,24.8,21.89
CDLHIGHWAVE,bull,none,298,298,298,155,143,52.0,49.7,0.8,N,4.74,0.093,1.43,21.1,22.03
CDLMARUBOZU,bull,atr_low,100,65,65,35,30,53.8,48.9,0.79,N,0.36,0.028,1.03,24.6,22.9
CDLSHORTLINE,bull,none,443,440,440,227,213,51.6,49.7,0.79,N,1.88,0.06,1.14,22.0,26.34
CDLGRAVESTONEDOJI,bear,trend_up,58,26,26,15,11,57.7,50.0,0.78,N,3.79,0.136,1.37,11.5,19.96
