形态,方向,过滤器,信号数,胜,负,胜率%,平均波动$,保留率%,达标
CDLTAKURI,bull,rsi_mid_oversold,25,24,1,96.0,7.44,100.0,Y
CDLTAKURI,bull,trend_down,24,23,1,95.8,8.36,100.0,Y
CDLENGULFING,bear,rsi_overbought,14,13,1,92.9,8.38,100.0,Y
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,27,25,2,92.6,8.01,100.0,Y
CDLDRAGONFLYDOJI,bull,trend_down,26,24,2,92.3,8.89,100.0,Y
CDLMATCHINGLOW,bull,rsi_mid_overbought,13,12,1,92.3,4.56,100.0,Y
CDLEVENINGSTAR,bear,trend_down,13,11,2,84.6,10.0,100.0,Y
CDLEVENINGSTAR,bear,rsi_mid_oversold,13,11,2,84.6,9.9,100.0,Y
CDLMATCHINGLOW,bull,trend_up,13,11,2,84.6,4.82,100.0,Y
CDLTAKURI,bull,atr_high,13,11,2,84.6,8.66,100.0,Y
CDLDRAGONFLYDOJI,bull,atr_low,38,32,6,84.2,6.61,100.0,Y
CDLEVENINGSTAR,bear,none,19,16,3,84.2,10.13,100.0,Y
CDLHARAMICROSS,bear,rsi_mid_oversold,19,16,3,84.2,7.02,100.0,Y
CDLADVANCEBLOCK,bear,atr_low,24,20,4,83.3,7.7,100.0,Y
CDLADVANCEBLOCK,bear,rsi_mid_overbought,18,15,3,83.3,6.9,100.0,Y
CDLDRAGONFLYDOJI,bull,none,51,42,9,82.4,7.21,100.0,Y
CDLTAKURI,bull,none,51,42,9,82.4,7.62,100.0,Y
CDLADVANCEBLOCK,bear,trend_up,28,23,5,82.1,7.47,100.0,Y
CDLADVANCEBLOCK,bear,none,33,27,6,81.8,7.94,100.0,Y
CDLSHOOTINGSTAR,bear,rsi_mid_overbought,22,18,4,81.8,10.28,100.0,Y
CDLTAKURI,bull,atr_low,38,31,7,81.6,7.27,100.0,Y
CDLINVERTEDHAMMER,bull,rsi_mid_oversold,16,13,3,81.2,9.13,100.0,Y
CDL3OUTSIDE,bear,rsi_oversold,10,8,2,80.0,9.78,100.0,Y
CDLEVENINGSTAR,bear,atr_high,10,8,2,80.0,12.49,100.0,Y
CDLHANGINGMAN,bear,rsi_mid_oversold,15,12,3,80.0,7.07,100.0,Y
CDLMARUBOZU,bear,rsi_mid_overbought,56,44,12,78.6,8.32,100.0,Y
CDLHARAMICROSS,bear,atr_low,37,29,8,78.4,6.47,100.0,Y
CDLSHORTLINE,bull,rsi_overbought,22,17,5,77.3,9.41,100.0,Y
CDLDRAGONFLYDOJI,bull,atr_high,13,10,3,76.9,8.99,100.0,Y
CDLHANGINGMAN,bear,atr_low,26,20,6,76.9,9.2,100.0,Y
CDLSHORTLINE,bull,vol_expand,56,43,13,76.8,8.33,100.0,Y
CDLHARAMICROSS,bear,rsi_mid_overbought,21,16,5,76.2,5.35,100.0,Y
CDLXSIDEGAP3METHODS,bear,rsi_mid_oversold,25,19,6,76.0,6.9,100.0,Y
CDLMARUBOZU,bear,trend_up,66,50,16,75.8,8.11,100.0,Y
CDLRICKSHAWMAN,bull,vol_expand,41,31,10,75.6,8.96,100.0,Y
CDLMARUBOZU,bear,atr_low,89,67,22,75.3,7.11,100.0,Y
CDLLONGLINE,bear,rsi_overbought,32,24,8,75.0,8.76,100.0,Y
CDLMATCHINGLOW,bull,atr_low,39,29,10,74.4,8.81,100.0,Y
CDLHIKKAKE,bull,rsi_oversold,19,14,5,73.7,9.88,100.0,Y
CDLHARAMI,bear,rsi_mid_overbought,75,55,20,73.3,6.94,100.0,Y
CDLSHOOTINGSTAR,bear,trend_up,30,22,8,73.3,10.89,100.0,Y
CDLHARAMICROSS,bear,trend_up,26,19,7,73.1,5.65,100.0,Y
CDLHARAMICROSS,bear,none,48,35,13,72.9,6.57,100.0,Y
CDLDOJI,bull,rsi_oversold,22,16,6,72.7,9.19,100.0,Y
CDLHARAMICROSS,bear,trend_down,22,16,6,72.7,7.65,100.0,Y
CDLSHOOTINGSTAR,bear,atr_low,33,24,9,72.7,8.29,100.0,Y
CDLXSIDEGAP3METHODS,bear,trend_down,22,16,6,72.7,7.28,100.0,Y
CDLHIKKAKE,bull,atr_low,305,221,84,72.5,7.45,100.0,Y
CDLHIGHWAVE,bull,rsi_mid_overbought,145,105,40,72.4,7.04,100.0,Y
CDLENGULFING,bear,rsi_oversold,18,13,5,72.2,7.55,100.0,Y
CDLDOJI,bull,vol_expand,50,36,14,72.0,8.72,100.0,Y
CDLDRAGONFLYDOJI,bull,trend_up,25,18,7,72.0,5.48,100.0,Y
CDLLONGLEGGEDDOJI,bull,trend_down,243,175,68,72.0,8.45,100.0,Y
CDLLONGLEGGEDDOJI,bull,vol_expand,50,36,14,72.0,8.72,100.0,Y
CDLHARAMI,bear,rsi_mid_oversold,89,64,25,71.9,8.83,100.0,Y
CDLMARUBOZU,bear,none,153,110,43,71.9,8.07,100.0,Y
CDLDOJI,bull,trend_down,248,178,70,71.8,8.5,100.0,Y
CDLLONGLEGGEDDOJI,bull,atr_low,318,228,90,71.7,7.15,100.0,Y
