形态,方向,过滤器,SL,交易数,胜,负,胜率%,随机WR%,Z值,显著,平均盈亏,盈亏/ATR,盈亏比,止损率%
CDLTAKURI,bull,rsi_mid_oversold,0.5,136,48,88,35.3,30.4,1.24,N,-3.85,-0.107,0.42,58.1
CDLTAKURI,bull,rsi_mid_oversold,0.75,136,58,78,42.6,36.4,1.51,N,-5.04,-0.161,0.39,49.3
CDLTAKURI,bull,rsi_mid_oversold,1.0,136,80,56,58.8,44.7,3.32,Y,-0.92,-0.015,0.85,28.7
CDLTAKURI,bull,rsi_mid_oversold,1.25,136,86,50,63.2,45.9,4.06,Y,0.54,0.041,1.11,18.4
CDLTAKURI,bull,rsi_mid_oversold,1.5,136,87,49,64.0,48.7,3.57,Y,0.35,0.021,1.07,16.9
CDLTAKURI,bull,rsi_mid_oversold,1.75,136,90,46,66.2,49.6,3.86,Y,0.35,0.04,1.06,13.2
CDLTAKURI,bull,rsi_mid_oversold,2.0,136,90,46,66.2,46.9,4.51,Y,1.04,0.075,1.22,8.1
CDLTAKURI,bull,rsi_mid_oversold,2.25,136,90,46,66.2,50.4,3.69,Y,1.45,0.086,1.34,5.1
CDLTAKURI,bull,rsi_mid_oversold,2.5,136,90,46,66.2,49.5,3.89,Y,1.95,0.102,1.52,2.9
CDLTAKURI,bull,rsi_mid_oversold,2.75,136,90,46,66.2,47.7,4.31,Y,1.92,0.101,1.51,2.2
CDLTAKURI,bull,rsi_mid_oversold,3.0,136,91,45,66.9,49.2,4.13,Y,2.29,0.12,1.66,1.5
CDLTAKURI,bull,trend_down,0.5,149,54,95,36.2,31.2,1.33,N,-3.4,-0.092,0.46,57.0
CDLTAKURI,bull,trend_down,0.75,149,64,85,43.0,37.7,1.32,N,-4.64,-0.147,0.42,48.3
CDLTAKURI,bull,trend_down,1.0,149,86,63,57.7,43.7,3.44,Y,-1.01,-0.022,0.84,30.2
CDLTAKURI,bull,trend_down,1.25,149,92,57,61.7,46.8,3.65,Y,0.42,0.033,1.08,19.5
CDLTAKURI,bull,trend_down,1.5,149,93,56,62.4,48.5,3.39,Y,0.11,0.007,1.02,18.1
CDLTAKURI,bull,trend_down,1.75,149,96,53,64.4,48.1,3.99,Y,0.42,0.033,1.08,13.4
CDLTAKURI,bull,trend_down,2.0,149,96,53,64.4,50.0,3.52,Y,1.01,0.062,1.21,8.7
CDLTAKURI,bull,trend_down,2.25,149,96,53,64.4,46.7,4.34,Y,1.33,0.069,1.3,6.0
CDLTAKURI,bull,trend_down,2.5,149,96,53,64.4,47.1,4.24,Y,1.75,0.079,1.43,4.0
CDLTAKURI,bull,trend_down,2.75,149,97,52,65.1,50.7,3.51,Y,1.91,0.119,1.47,2.7
CDLTAKURI,bull,trend_down,3.0,149,98,51,65.8,49.4,4.0,Y,2.22,0.135,1.59,2.0
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,0.5,752,259,493,34.4,32.7,0.99,N,-1.3,-0.055,0.75,59.2
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,0.75,752,310,442,41.2,39.1,1.19,N,-1.74,-0.082,0.73,46.1
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,1.0,752,364,388,48.4,44.2,2.31,Y,-1.16,-0.06,0.82,33.8
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,1.25,752,392,360,52.1,46.6,3.02,Y,-0.45,-0.035,0.93,24.1
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,1.5,752,408,344,54.3,48.6,3.08,Y,-0.2,-0.022,0.97,17.7
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,1.75,752,416,336,55.3,49.4,3.25,Y,-0.2,-0.016,0.97,13.7
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,2.0,752,419,333,55.7,49.0,3.71,Y,0.12,0.003,1.02,9.4
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,2.25,752,419,333,55.7,48.5,3.93,Y,0.12,0.002,1.02,7.6
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,2.5,752,420,332,55.9,50.4,2.97,Y,0.11,0.005,1.02,6.1
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,2.75,752,420,332,55.9,48.1,4.24,Y,-0.04,-0.002,0.99,4.9
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,3.0,752,422,330,56.1,49.0,3.88,Y,-0.06,-0.001,0.99,4.1
CDLDOJI,bull,rsi_mid_oversold,0.5,762,264,498,34.6,33.3,0.79,N,-1.32,-0.054,0.75,59.1
CDLDOJI,bull,rsi_mid_oversold,0.75,762,315,447,41.3,39.8,0.89,N,-1.79,-0.082,0.72,46.2
CDLDOJI,bull,rsi_mid_oversold,1.0,762,369,393,48.4,44.5,2.17,Y,-1.22,-0.061,0.81,33.9
CDLDOJI,bull,rsi_mid_oversold,1.25,762,397,365,52.1,46.8,2.92,Y,-0.54,-0.038,0.91,24.3
CDLDOJI,bull,rsi_mid_oversold,1.5,762,415,347,54.5,48.0,3.59,Y,-0.25,-0.022,0.96,17.7
CDLDOJI,bull,rsi_mid_oversold,1.75,762,423,339,55.5,49.0,3.57,Y,-0.26,-0.017,0.96,13.8
CDLDOJI,bull,rsi_mid_oversold,2.0,762,426,336,55.9,49.4,3.6,Y,0.04,0.001,1.01,9.6
CDLDOJI,bull,rsi_mid_oversold,2.25,762,426,336,55.9,48.5,4.09,Y,0.1,0.004,1.02,7.5
CDLDOJI,bull,rsi_mid_oversold,2.5,762,427,335,56.0,48.5,4.14,Y,0.1,0.007,1.02,6.0
CDLDOJI,bull,rsi_mid_oversold,2.75,762,427,335,56.0,49.1,3.82,Y,-0.05,-0.0,0.99,4.9
CDLDOJI,bull,rsi_mid_oversold,3.0,762,429,333,56.3,50.2,3.38,Y,-0.07,0.001,0.99,4.1
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,0.5,138,50,88,36.2,32.2,1.0,N,-3.85,-0.076,0.42,58.0
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,0.75,138,60,78,43.5,36.1,1.8,Y,-5.14,-0.126,0.38,48.6
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,1.0,138,81,57,58.7,43.7,3.55,Y,-1.0,0.015,0.83,28.3
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,1.25,138,87,51,63.0,45.9,4.04,Y,0.42,0.071,1.08,18.1
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,1.5,138,88,50,63.8,48.6,3.58,Y,0.22,0.051,1.04,16.7
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,1.75,138,90,48,65.2,49.9,3.6,Y,0.03,0.056,1.01,13.8
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,2.0,138,90,48,65.2,49.9,3.59,Y,0.68,0.089,1.14,8.7
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,2.25,138,90,48,65.2,49.2,3.77,Y,1.04,0.098,1.23,5.8
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,2.5,138,90,48,65.2,48.4,3.96,Y,1.49,0.112,1.36,3.6
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,2.75,138,90,48,65.2,51.1,3.32,Y,1.43,0.109,1.34,2.9
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,3.0,138,91,47,65.9,50.4,3.65,Y,1.91,0.133,1.51,1.4
CDLDRAGONFLYDOJI,bull,trend_down,0.5,151,55,96,36.4,32.3,1.09,N,-3.49,-0.074,0.45,57.6
CDLDRAGONFLYDOJI,bull,trend_down,0.75,151,65,86,43.0,36.1,1.78,Y,-4.85,-0.126,0.41,48.3
CDLDRAGONFLYDOJI,bull,trend_down,1.0,151,86,65,57.0,45.0,2.94,Y,-1.22,-0.007,0.81,30.5
CDLDRAGONFLYDOJI,bull,trend_down,1.25,151,92,59,60.9,47.7,3.26,Y,0.14,0.046,1.03,19.9
