形态,方向,过滤器,最佳SL,交易数,胜率%,Z值,显著,盈亏比,盈亏/ATR,止损率%,是否达标
CDLTAKURI,bull,rsi_mid_oversold,2.0,136,66.2,4.51,Y,1.22,0.075,8.1,Y
CDLTAKURI,bull,trend_down,2.25,149,64.4,4.34,Y,1.3,0.069,6.0,Y
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,2.75,752,55.9,4.24,Y,0.99,-0.002,4.9,Y
CDLDOJI,bull,rsi_mid_oversold,2.5,762,56.0,4.14,Y,1.02,0.007,6.0,Y
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,1.25,138,63.0,4.04,Y,1.08,0.071,18.1,Y
CDLDRAGONFLYDOJI,bull,trend_down,2.75,151,63.6,3.73,Y,1.31,0.116,3.3,Y
CDLRICKSHAWMAN,bull,trend_down,3.0,558,57.0,3.7,Y,1.0,0.002,4.3,Y
CDLSHORTLINE,bull,rsi_mid_oversold,1.25,461,55.1,3.69,Y,1.28,0.073,17.4,Y
CDLDOJI,bull,trend_down,2.75,844,55.2,3.56,Y,1.0,-0.012,5.0,Y
CDLRICKSHAWMAN,bull,rsi_mid_oversold,2.0,503,57.1,3.56,Y,1.06,0.026,8.7,Y
CDLRICKSHAWMAN,bull,none,2.75,1287,54.1,3.51,Y,1.07,nan,4.4,N
CDLLONGLEGGEDDOJI,bull,trend_down,3.0,834,55.4,3.49,Y,1.0,-0.01,4.1,Y
CDLSPINNINGTOP,bear,trend_up,2.75,1478,52.8,3.33,Y,1.14,0.031,3.6,N
CDLSPINNINGTOP,bull,rsi_mid_oversold,1.5,501,54.9,3.25,Y,1.09,0.045,16.0,N
CDLRICKSHAWMAN,bull,atr_high,3.0,343,56.6,2.94,Y,1.07,0.027,2.9,Y
CDLHANGINGMAN,bear,trend_up,0.5,234,39.7,2.82,Y,0.8,-0.072,44.9,N
CDLDOJI,bull,none,2.5,1972,52.3,2.76,Y,1.01,nan,5.1,N
CDLSPINNINGTOP,bull,atr_low,2.75,1846,52.2,2.58,Y,1.12,0.035,4.0,N
CDLSPINNINGTOP,bear,none,3.0,2599,51.9,2.57,Y,1.16,nan,2.9,N
CDL3OUTSIDE,bull,rsi_mid_oversold,2.0,65,58.5,2.55,Y,1.01,0.085,9.2,Y
CDLHIGHWAVE,bear,rsi_overbought,2.5,145,58.6,2.55,Y,1.2,0.098,4.8,Y
CDLLONGLEGGEDDOJI,bull,none,2.5,1946,52.3,2.54,Y,1.01,nan,5.2,N
CDLTAKURI,bull,none,1.25,372,51.6,2.52,Y,0.77,-0.046,19.9,N
CDLSPINNINGTOP,bear,rsi_mid_overbought,1.0,594,49.8,2.51,Y,1.09,-0.014,28.1,N
CDLRICKSHAWMAN,bull,atr_low,2.75,936,53.3,2.48,Y,1.06,0.047,4.6,N
CDLSHORTLINE,bear,atr_low,1.0,1630,48.7,2.45,Y,1.2,0.058,25.2,N
CDLHIGHWAVE,bull,rsi_mid_oversold,2.0,322,54.7,2.44,Y,1.02,0.045,9.0,N
CDLHAMMER,bull,rsi_mid_oversold,2.25,155,57.4,2.36,Y,0.75,0.022,7.7,Y
CDLMARUBOZU,bull,rsi_mid_oversold,2.75,69,60.9,2.35,Y,1.41,0.158,4.3,Y
CDLDOJI,bull,atr_high,2.25,602,53.2,2.28,Y,1.1,0.02,5.5,N
CDLHIGHWAVE,bear,trend_up,1.75,880,52.7,2.26,Y,1.09,0.01,11.1,N
CDLSHORTLINE,bull,none,3.0,2351,51.4,2.21,Y,1.14,0.052,1.4,N
CDLDRAGONFLYDOJI,bull,atr_low,2.0,211,54.0,2.2,Y,1.14,0.046,6.6,N
