形态,方向,过滤器,SL,交易数,胜,负,胜率%,随机WR%,Z值,显著,平均盈亏,盈亏/ATR,盈亏比,止损率%
CDLENGULFING,bear,rsi_mid_overbought,0.5,41,21,20,51.2,31.1,2.78,Y,4.39,0.38,2.35,46.3
CDLENGULFING,bear,rsi_mid_overbought,0.75,41,24,17,58.5,38.8,2.59,Y,4.24,0.351,2.11,36.6
CDLENGULFING,bear,rsi_mid_overbought,1.0,41,26,15,63.4,47.4,2.06,Y,4.75,0.378,2.28,24.4
CDLENGULFING,bear,rsi_mid_overbought,1.25,41,26,15,63.4,47.8,2.01,Y,4.61,0.363,2.19,17.1
CDLENGULFING,bear,rsi_mid_overbought,1.5,41,26,15,63.4,50.4,1.67,Y,4.21,0.33,1.99,14.6
CDLENGULFING,bear,rsi_mid_overbought,1.75,41,26,15,63.4,46.3,2.19,Y,3.9,0.304,1.85,12.2
CDLENGULFING,bear,rsi_mid_overbought,2.0,41,26,15,63.4,44.9,2.38,Y,3.71,0.288,1.78,9.8
CDLENGULFING,bear,rsi_mid_overbought,2.25,41,26,15,63.4,45.3,2.33,Y,3.42,0.264,1.68,9.8
CDLENGULFING,bear,rsi_mid_overbought,2.5,41,26,15,63.4,49.8,1.74,Y,3.63,0.283,1.75,7.3
CDLENGULFING,bear,rsi_mid_overbought,2.75,41,27,14,65.9,50.8,1.93,Y,4.49,0.366,2.08,2.4
CDLENGULFING,bear,rsi_mid_overbought,3.0,41,27,14,65.9,47.8,2.32,Y,4.86,0.392,2.29,0.0
CDLBELTHOLD,bull,rsi_overbought,0.5,11,4,7,36.4,23.5,1.01,N,-1.92,-0.11,0.64,63.6
CDLBELTHOLD,bull,rsi_overbought,0.75,11,8,3,72.7,46.2,1.76,Y,2.48,0.186,1.66,27.3
CDLBELTHOLD,bull,rsi_overbought,1.0,11,9,2,81.8,47.0,2.32,Y,7.33,0.377,3.55,18.2
CDLBELTHOLD,bull,rsi_overbought,1.25,11,9,2,81.8,51.5,2.01,Y,6.61,0.332,2.84,18.2
