形态,方向,过滤器,最佳SL,交易数,胜率%,Z值,显著,盈亏比,盈亏/ATR,止损率%,是否达标
CDLENGULFING,bear,rsi_mid_overbought,0.5,41,51.2,2.78,Y,2.35,0.38,46.3,N
CDLBELTHOLD,bull,rsi_overbought,3.0,11,81.8,2.59,Y,2.05,0.222,9.1,Y
CDLHANGINGMAN,bear,rsi_mid_overbought,2.0,13,76.9,2.47,Y,1.94,0.218,7.7,Y
CDLMARUBOZU,bull,rsi_mid_oversold,0.5,14,57.1,2.37,Y,2.25,0.224,35.7,Y
CDLBELTHOLD,bear,rsi_oversold,1.0,25,56.0,2.24,Y,1.45,0.18,32.0,Y
CDL3OUTSIDE,bear,atr_low,2.75,62,59.7,2.19,Y,1.19,0.091,4.8,Y
CDLADVANCEBLOCK,bear,atr_low,2.5,14,71.4,2.16,Y,1.76,0.196,7.1,Y
CDLMATCHINGLOW,bull,none,2.25,31,67.7,2.16,Y,2.13,0.255,6.5,Y
CDLMATCHINGLOW,bull,trend_up,2.5,12,75.0,2.08,Y,4.69,0.365,0.0,Y
CDLMARUBOZU,bear,none,2.5,76,57.9,2.05,Y,1.64,0.198,2.6,Y
CDLMATCHINGLOW,bull,atr_low,1.0,23,69.6,2.05,Y,2.57,0.34,13.0,Y
CDLENGULFING,bear,trend_up,0.5,116,41.4,1.96,Y,1.46,0.143,52.6,N
CDLADVANCEBLOCK,bear,rsi_mid_overbought,2.75,10,80.0,1.95,Y,2.05,0.288,10.0,Y
CDLMARUBOZU,bull,trend_up,1.75,30,60.0,1.94,Y,1.75,0.27,3.3,Y
CDLSHORTLINE,bull,rsi_mid_oversold,2.75,94,58.5,1.89,Y,1.63,0.106,1.1,Y
CDLRICKSHAWMAN,bull,rsi_mid_oversold,1.5,112,54.5,1.85,Y,1.15,0.047,19.6,N
CDLSHORTLINE,bull,atr_high,2.5,133,54.1,1.77,Y,1.28,0.087,3.0,N
CDLDOJI,bull,rsi_mid_oversold,2.75,146,54.8,1.73,Y,1.16,0.038,5.5,N
CDLLONGLINE,bull,rsi_overbought,1.25,11,72.7,1.71,Y,1.87,0.346,9.1,Y
CDLSPINNINGTOP,bull,trend_down,0.5,253,36.0,1.7,Y,1.08,0.023,58.5,N
CDLADVANCEBLOCK,bear,none,1.5,20,65.0,1.68,Y,1.0,0.041,25.0,Y
CDLHANGINGMAN,bear,atr_high,1.25,11,63.6,1.65,Y,1.2,0.119,9.1,Y
CDLRICKSHAWMAN,bull,trend_down,1.75,120,54.2,1.65,Y,1.1,0.036,12.5,N
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,3.0,146,54.8,1.64,N,1.13,0.024,5.5,N
CDLLONGLEGGEDDOJI,bull,trend_down,1.75,163,54.0,1.63,N,1.11,0.048,13.5,N
CDLMORNINGSTAR,bull,none,2.25,11,63.6,1.59,N,1.95,0.274,9.1,N
CDL3OUTSIDE,bear,trend_down,0.75,53,43.4,1.58,N,1.21,0.092,52.8,N
CDLMATCHINGLOW,bull,trend_down,1.5,19,63.2,1.58,N,1.99,0.264,10.5,N
CDLBELTHOLD,bull,atr_low,1.25,183,51.9,1.56,N,1.21,0.083,23.0,N
CDLMARUBOZU,bear,atr_high,0.5,23,47.8,1.56,N,1.31,0.051,43.5,N
CDLMARUBOZU,bear,trend_down,0.75,46,50.0,1.54,N,1.56,0.121,30.4,N
CDLMARUBOZU,bull,atr_low,0.75,50,48.0,1.51,N,1.4,0.147,36.0,N
CDLDOJI,bull,trend_down,2.0,163,54.0,1.5,N,1.09,0.041,10.4,N
CDLENGULFING,bear,atr_low,0.5,184,37.5,1.47,N,1.24,0.09,57.6,N
CDLHIKKAKE,bull,rsi_mid_oversold,1.25,69,53.6,1.45,N,1.38,0.081,18.8,N
CDLHAMMER,bull,none,3.0,39,56.4,1.42,N,1.39,0.145,2.6,N
CDLHARAMICROSS,bear,atr_low,1.5,24,62.5,1.4,N,2.3,0.232,8.3,N
CDLHIGHWAVE,bull,rsi_mid_oversold,2.25,62,54.8,1.4,N,0.95,-0.001,9.7,N
CDLSHORTLINE,bear,rsi_oversold,2.25,14,64.3,1.39,N,2.3,0.317,7.1,N
CDLHARAMI,bear,rsi_mid_overbought,2.0,29,58.6,1.37,N,2.05,0.266,6.9,N
CDL3INSIDE,bear,trend_up,0.75,10,60.0,1.35,N,2.3,0.303,30.0,N
CDL3OUTSIDE,bull,none,2.0,97,53.6,1.32,N,1.19,0.089,7.2,N
CDLENGULFING,bull,none,0.5,262,37.4,1.32,N,1.14,nan,57.3,N
CDL3OUTSIDE,bull,trend_up,1.25,44,52.3,1.3,N,1.08,0.036,18.2,N
CDLHARAMICROSS,bear,trend_up,0.75,16,56.2,1.27,N,1.01,0.028,25.0,N
CDLHIKKAKE,bear,rsi_mid_overbought,0.5,50,46.0,1.27,N,1.39,0.119,50.0,N
CDLLONGLINE,bear,trend_up,1.75,125,51.2,1.27,N,1.04,0.057,9.6,N
CDL3OUTSIDE,bull,rsi_mid_oversold,1.0,13,61.5,1.21,N,1.8,0.298,30.8,N
CDLBELTHOLD,bear,trend_up,1.0,110,50.9,1.2,N,1.14,0.043,29.1,N
CDL3INSIDE,bear,none,2.5,22,59.1,1.18,N,0.99,0.008,9.1,N
CDLLONGLINE,bear,rsi_mid_overbought,2.25,42,54.8,1.16,N,1.65,0.202,2.4,N
CDLBELTHOLD,bear,none,3.0,285,51.6,1.15,N,1.02,nan,3.9,N
CDLADVANCEBLOCK,bear,trend_up,1.25,18,61.1,1.14,N,0.89,-0.014,33.3,N
CDLHAMMER,bull,rsi_mid_oversold,2.25,25,56.0,1.14,N,1.51,0.136,4.0,N
CDLHANGINGMAN,bear,trend_down,1.0,10,50.0,1.12,N,1.23,0.135,30.0,N
CDLHIGHWAVE,bull,rsi_oversold,0.75,14,50.0,1.12,N,2.46,0.394,35.7,N
CDLHANGINGMAN,bear,trend_up,0.5,17,41.2,1.11,N,0.94,-0.008,58.8,N
CDLHAMMER,bull,trend_down,1.25,30,56.7,1.07,N,1.28,0.099,23.3,N
CDLHARAMICROSS,bull,none,1.75,41,53.7,1.07,N,1.08,nan,12.2,N
CDLSHORTLINE,bull,trend_down,2.25,194,51.0,1.07,N,1.1,0.035,4.1,N
CDLSPINNINGTOP,bull,atr_high,0.5,128,36.7,1.07,N,0.94,-0.041,59.4,N
CDLSPINNINGTOP,bull,rsi_mid_oversold,0.5,124,35.5,1.07,N,1.02,-0.005,61.3,N
CDLDRAGONFLYDOJI,bull,atr_high,2.0,24,54.2,1.06,N,1.18,0.067,0.0,N
CDLMATCHINGLOW,bull,rsi_mid_oversold,1.5,14,57.1,1.03,N,1.37,0.114,14.3,N
CDL3INSIDE,bull,trend_down,2.5,12,58.3,1.02,N,0.55,-0.289,16.7,N
CDLSPINNINGTOP,bull,atr_low,0.5,284,32.4,1.02,N,0.98,-0.012,60.9,N
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,0.5,20,50.0,0.99,N,1.45,0.124,50.0,N
CDLGRAVESTONEDOJI,bear,atr_high,1.0,13,53.8,0.99,N,1.68,0.151,23.1,N
CDLSPINNINGTOP,bull,none,0.75,427,42.4,0.98,N,0.97,nan,44.5,N
CDLDOJI,bull,atr_low,2.75,180,50.6,0.97,N,1.02,-0.024,6.1,N
CDLHIKKAKE,bull,trend_up,0.5,105,39.0,0.97,N,0.95,-0.002,57.1,N
CDLBELTHOLD,bear,trend_down,1.0,174,46.6,0.96,N,0.97,0.006,33.3,N
CDLDOJI,bull,none,2.5,284,50.7,0.96,N,1.04,nan,4.9,N
CDLHAMMER,bull,atr_low,1.25,21,52.4,0.96,N,1.4,0.122,23.8,N
CDLHAMMER,bull,atr_high,3.0,17,58.8,0.89,N,1.0,-0.01,0.0,N
CDLLONGLINE,bull,atr_high,2.75,96,52.1,0.89,N,1.3,0.14,3.1,N
CDLRICKSHAWMAN,bull,none,2.0,204,50.5,0.89,N,1.07,nan,8.8,N
CDLHANGINGMAN,bear,none,1.5,27,55.6,0.87,N,1.32,0.099,7.4,N
CDLMARUBOZU,bear,rsi_mid_overbought,0.5,10,30.0,0.87,N,0.53,-0.081,70.0,N
CDLSHORTLINE,bull,none,2.0,346,50.0,0.81,N,1.09,0.026,3.8,N
CDLLONGLEGGEDDOJI,bull,rsi_overbought,1.0,17,47.1,0.79,N,1.61,0.223,23.5,N
CDLTAKURI,bull,rsi_mid_oversold,0.5,20,50.0,0.79,N,1.45,0.124,50.0,N
CDLDOJI,bull,rsi_overbought,2.5,17,52.9,0.77,N,2.08,0.327,0.0,N
CDLHARAMICROSS,bear,trend_down,2.75,23,52.2,0.77,N,1.58,0.12,0.0,N
CDLLONGLEGGEDDOJI,bull,atr_low,2.25,180,50.6,0.77,N,1.04,-0.009,9.4,N
CDLTAKURI,bull,atr_high,2.5,23,52.2,0.77,N,1.15,0.063,0.0,N
CDLEVENINGSTAR,bear,trend_down,2.75,11,54.5,0.76,N,0.48,-0.252,9.1,N
CDLLONGLINE,bull,atr_low,2.5,217,50.2,0.76,N,1.03,0.037,3.2,N
CDLENGULFING,bear,atr_high,1.25,72,51.4,0.75,N,1.05,0.02,13.9,N
CDLHIGHWAVE,bull,trend_down,2.5,134,51.5,0.75,N,1.05,0.026,6.0,N
CDLENGULFING,bull,trend_down,1.75,145,50.3,0.72,N,0.91,-0.004,13.1,N
CDLLONGLEGGEDDOJI,bull,none,1.75,284,50.7,0.72,N,1.03,nan,12.0,N
CDLSHORTLINE,bear,rsi_mid_overbought,0.5,57,43.9,0.72,N,1.21,0.046,42.1,N
