形态,方向,过滤器,SL,交易数,胜,负,胜率%,随机WR%,Z值,显著,平均盈亏,盈亏/ATR,盈亏比,止损率%
CDLSHORTLINE,bear,rsi_mid_overbought,0.5,80,34,46,42.5,30.3,2.37,Y,7.12,0.24,1.98,51.2
CDLSHORTLINE,bear,rsi_mid_overbought,0.75,80,48,32,60.0,44.9,2.72,Y,9.42,0.35,2.3,31.2
CDLSHORTLINE,bear,rsi_mid_overbought,1.0,80,50,30,62.5,46.8,2.82,Y,9.19,0.348,2.21,20.0
CDLSHORTLINE,bear,rsi_mid_overbought,1.25,80,52,28,65.0,48.2,3.0,Y,8.57,0.343,2.03,16.2
CDLSHORTLINE,bear,rsi_mid_overbought,1.5,80,52,28,65.0,47.8,3.08,Y,8.43,0.336,1.99,11.2
CDLSHORTLINE,bear,rsi_mid_overbought,1.75,80,54,26,67.5,47.6,3.56,Y,10.45,0.407,2.39,5.0
CDLSHORTLINE,bear,rsi_mid_overbought,2.0,80,54,26,67.5,48.3,3.43,Y,10.71,0.416,2.47,2.5
CDLSHORTLINE,bear,rsi_mid_overbought,2.25,80,54,26,67.5,49.5,3.22,Y,10.77,0.416,2.49,0.0
CDLSHORTLINE,bear,rsi_mid_overbought,2.5,80,54,26,67.5,48.4,3.41,Y,10.77,0.416,2.49,0.0
CDLSHORTLINE,bear,rsi_mid_overbought,2.75,80,54,26,67.5,50.0,3.13,Y,10.77,0.416,2.49,0.0
CDLSHORTLINE,bear,rsi_mid_overbought,3.0,80,54,26,67.5,50.2,3.09,Y,10.77,0.416,2.49,0.0
CDLHARAMI,bear,rsi_mid_overbought,0.5,30,14,16,46.7,33.1,1.58,N,10.33,0.347,2.75,53.3
CDLHARAMI,bear,rsi_mid_overbought,0.75,30,20,10,66.7,47.8,2.07,Y,12.6,0.504,3.17,30.0
CDLHARAMI,bear,rsi_mid_overbought,1.0,30,21,9,70.0,45.0,2.75,Y,12.47,0.49,3.09,16.7
CDLHARAMI,bear,rsi_mid_overbought,1.25,30,22,8,73.3,50.3,2.53,Y,12.68,0.508,3.08,13.3
CDLHARAMI,bear,rsi_mid_overbought,1.5,30,22,8,73.3,50.8,2.47,Y,12.46,0.505,2.97,10.0
CDLHARAMI,bear,rsi_mid_overbought,1.75,30,22,8,73.3,50.0,2.56,Y,12.04,0.489,2.79,6.7
CDLHARAMI,bear,rsi_mid_overbought,2.0,30,22,8,73.3,52.8,2.26,Y,11.61,0.473,2.62,6.7
CDLHARAMI,bear,rsi_mid_overbought,2.25,30,22,8,73.3,47.5,2.83,Y,11.18,0.456,2.47,6.7
CDLHARAMI,bear,rsi_mid_overbought,2.5,30,22,8,73.3,44.7,3.15,Y,10.75,0.439,2.34,6.7
CDLHARAMI,bear,rsi_mid_overbought,2.75,30,22,8,73.3,43.6,3.28,Y,10.32,0.423,2.22,6.7
CDLHARAMI,bear,rsi_mid_overbought,3.0,30,22,8,73.3,45.8,3.02,Y,9.89,0.406,2.11,6.7
CDLSPINNINGTOP,bear,rsi_mid_overbought,0.5,103,41,62,39.8,32.8,1.52,N,2.12,0.094,1.29,50.5
CDLSPINNINGTOP,bear,rsi_mid_overbought,0.75,103,53,50,51.5,40.7,2.22,Y,3.06,0.151,1.37,35.9
CDLSPINNINGTOP,bear,rsi_mid_overbought,1.0,103,58,45,56.3,46.5,1.99,Y,3.39,0.168,1.4,24.3
CDLSPINNINGTOP,bear,rsi_mid_overbought,1.25,103,60,43,58.3,46.4,2.42,Y,3.46,0.175,1.38,18.4
CDLSPINNINGTOP,bear,rsi_mid_overbought,1.5,103,62,41,60.2,48.1,2.45,Y,4.18,0.205,1.48,12.6
CDLSPINNINGTOP,bear,rsi_mid_overbought,1.75,103,64,39,62.1,46.9,3.09,Y,4.45,0.214,1.52,9.7
CDLSPINNINGTOP,bear,rsi_mid_overbought,2.0,103,64,39,62.1,49.9,2.48,Y,3.84,0.19,1.42,9.7
CDLSPINNINGTOP,bear,rsi_mid_overbought,2.25,103,65,38,63.1,51.0,2.46,Y,4.35,0.219,1.5,3.9
CDLSPINNINGTOP,bear,rsi_mid_overbought,2.5,103,65,38,63.1,50.4,2.58,Y,4.1,0.21,1.45,3.9
CDLSPINNINGTOP,bear,rsi_mid_overbought,2.75,103,65,38,63.1,50.0,2.66,Y,4.07,0.208,1.45,1.9
CDLSPINNINGTOP,bear,rsi_mid_overbought,3.0,103,65,38,63.1,50.5,2.56,Y,3.95,0.203,1.43,1.9
CDLSHORTLINE,bull,trend_up,0.5,221,86,135,38.9,33.0,1.88,Y,3.84,0.13,1.48,55.2
