形态,方向,过滤器,最佳SL,交易数,胜率%,Z值,显著,盈亏比,盈亏/ATR,止损率%,是否达标
CDLSHORTLINE,bear,rsi_mid_overbought,1.75,80,67.5,3.56,Y,2.39,0.407,5.0,Y
CDLHARAMI,bear,rsi_mid_overbought,2.75,30,73.3,3.28,Y,2.22,0.423,6.7,Y
CDLSPINNINGTOP,bear,rsi_mid_overbought,1.75,103,62.1,3.09,Y,1.52,0.214,9.7,Y
CDLSHORTLINE,bull,trend_up,2.25,221,58.4,2.75,Y,1.34,0.165,5.0,Y
CDLMARUBOZU,bull,atr_low,2.75,65,63.1,2.55,Y,0.88,-0.046,7.7,Y
CDLSHORTLINE,bull,none,2.25,440,55.5,2.51,Y,1.15,0.104,5.9,Y
CDLSHORTLINE,bull,atr_low,2.25,318,55.3,2.48,Y,1.27,0.105,6.0,Y
CDLDOJI,bull,trend_down,1.75,165,53.9,2.08,Y,1.42,0.012,13.3,N
CDLSHORTLINE,bull,rsi_overbought,2.5,27,66.7,2.06,Y,2.93,0.367,3.7,Y
CDLHARAMI,bull,trend_up,1.5,54,63.0,2.02,Y,2.14,0.301,14.8,Y
CDLSPINNINGTOP,bull,trend_up,1.5,246,54.1,2.02,Y,1.29,0.073,16.7,N
CDLRICKSHAWMAN,bull,atr_high,2.75,63,58.7,1.92,Y,1.75,0.142,3.2,Y
CDLSPINNINGTOP,bull,none,1.5,507,51.9,1.92,Y,1.26,nan,16.4,N
CDLHIGHWAVE,bear,rsi_mid_overbought,1.75,62,58.1,1.89,Y,1.25,0.133,9.7,Y
CDLDOJI,bull,rsi_mid_oversold,2.75,146,54.8,1.88,Y,1.27,0.003,6.8,N
CDLRICKSHAWMAN,bull,trend_down,3.0,125,56.8,1.86,Y,1.48,0.023,4.0,Y
CDLLONGLINE,bull,rsi_overbought,1.0,26,61.5,1.85,Y,4.59,1.035,19.2,Y
CDLGRAVESTONEDOJI,bear,rsi_mid_overbought,0.75,22,59.1,1.81,Y,1.04,0.107,27.3,Y
CDLHARAMI,bear,atr_low,0.75,88,48.9,1.76,Y,1.76,0.163,37.5,N
CDLHARAMICROSS,bull,atr_low,2.5,26,61.5,1.74,Y,3.67,0.278,0.0,Y
CDL3OUTSIDE,bull,none,1.5,131,54.2,1.72,Y,1.29,nan,13.0,N
CDLHIGHWAVE,bull,rsi_mid_oversold,1.75,55,58.2,1.71,Y,1.7,0.05,10.9,Y
CDLLONGLEGGEDDOJI,bull,trend_down,2.5,165,55.2,1.7,Y,1.51,0.039,6.7,Y
CDLGRAVESTONEDOJI,bear,atr_low,1.0,39,59.0,1.69,Y,1.39,0.188,25.6,Y
CDLLONGLEGGEDDOJI,bull,atr_high,1.5,87,52.9,1.69,Y,1.15,0.026,16.1,N
CDLMARUBOZU,bull,none,2.25,99,57.6,1.69,Y,0.93,0.022,9.1,Y
CDLLONGLINE,bear,rsi_oversold,1.75,26,61.5,1.64,N,2.14,0.232,19.2,N
