形态,方向,过滤器,SL,交易数,胜,负,胜率%,随机WR%,Z值,显著,平均盈亏,盈亏/ATR,盈亏比,止损率%
CDLHIKKAKE,bull,trend_up,0.5,172,78,94,45.3,35.6,2.68,Y,2.57,0.165,1.63,49.4
CDLHIKKAKE,bull,trend_up,0.75,172,91,81,52.9,46.4,1.72,Y,2.27,0.153,1.45,37.8
CDLHIKKAKE,bull,trend_up,1.0,172,97,75,56.4,48.1,2.19,Y,2.14,0.155,1.38,27.3
CDLHIKKAKE,bull,trend_up,1.25,172,101,71,58.7,48.0,2.81,Y,2.18,0.163,1.38,19.8
CDLHIKKAKE,bull,trend_up,1.5,172,102,70,59.3,48.1,2.94,Y,2.17,0.161,1.38,12.8
CDLHIKKAKE,bull,trend_up,1.75,172,102,70,59.3,49.9,2.48,Y,2.04,0.154,1.35,8.1
CDLHIKKAKE,bull,trend_up,2.0,172,102,70,59.3,49.0,2.71,Y,1.93,0.15,1.33,5.2
CDLHIKKAKE,bull,trend_up,2.25,172,102,70,59.3,49.6,2.55,Y,1.86,0.148,1.31,4.7
CDLHIKKAKE,bull,trend_up,2.5,172,102,70,59.3,50.8,2.24,Y,1.81,0.143,1.3,3.5
CDLHIKKAKE,bull,trend_up,2.75,172,102,70,59.3,48.9,2.72,Y,1.78,0.141,1.29,2.3
CDLHIKKAKE,bull,trend_up,3.0,172,102,70,59.3,51.4,2.08,Y,1.74,0.138,1.28,1.7
CDLHIKKAKE,bear,rsi_mid_overbought,0.5,81,38,43,46.9,39.4,1.38,N,2.12,0.182,1.51,49.4
CDLHIKKAKE,bear,rsi_mid_overbought,0.75,81,46,35,56.8,43.7,2.37,Y,1.74,0.175,1.34,37.0
CDLHIKKAKE,bear,rsi_mid_overbought,1.0,81,48,33,59.3,46.8,2.25,Y,1.18,0.143,1.2,25.9
CDLHIKKAKE,bear,rsi_mid_overbought,1.25,81,50,31,61.7,46.3,2.79,Y,1.15,0.15,1.19,18.5
CDLHIKKAKE,bear,rsi_mid_overbought,1.5,81,51,30,63.0,50.8,2.19,Y,1.3,0.16,1.22,12.3
CDLHIKKAKE,bear,rsi_mid_overbought,1.75,81,51,30,63.0,50.7,2.2,Y,1.03,0.147,1.17,8.6
CDLHIKKAKE,bear,rsi_mid_overbought,2.0,81,51,30,63.0,49.6,2.41,Y,0.76,0.136,1.12,6.2
CDLHIKKAKE,bear,rsi_mid_overbought,2.25,81,51,30,63.0,50.3,2.28,Y,0.44,0.121,1.07,6.2
CDLHIKKAKE,bear,rsi_mid_overbought,2.5,81,51,30,63.0,50.6,2.22,Y,0.46,0.121,1.07,3.7
CDLHIKKAKE,bear,rsi_mid_overbought,2.75,81,51,30,63.0,49.7,2.39,Y,0.39,0.117,1.06,2.5
CDLHIKKAKE,bear,rsi_mid_overbought,3.0,81,51,30,63.0,48.6,2.59,Y,0.28,0.11,1.04,2.5
CDLLONGLEGGEDDOJI,bull,trend_down,0.5,217,67,150,30.9,30.8,0.01,N,0.08,-0.02,1.02,67.3
CDLLONGLEGGEDDOJI,bull,trend_down,0.75,217,95,122,43.8,41.0,0.84,N,0.63,0.014,1.12,48.4
CDLLONGLEGGEDDOJI,bull,trend_down,1.0,217,107,110,49.3,45.1,1.25,N,0.71,0.019,1.13,34.1
CDLLONGLEGGEDDOJI,bull,trend_down,1.25,217,114,103,52.5,49.2,1.0,N,0.91,0.029,1.16,24.9
CDLLONGLEGGEDDOJI,bull,trend_down,1.5,217,120,97,55.3,49.1,1.83,Y,1.08,0.041,1.19,18.9
CDLLONGLEGGEDDOJI,bull,trend_down,1.75,217,123,94,56.7,51.7,1.46,N,1.49,0.059,1.28,13.8
CDLLONGLEGGEDDOJI,bull,trend_down,2.0,217,123,94,56.7,50.2,1.92,Y,1.35,0.047,1.25,10.6
CDLLONGLEGGEDDOJI,bull,trend_down,2.25,217,123,94,56.7,50.1,1.93,Y,1.36,0.049,1.25,8.3
CDLLONGLEGGEDDOJI,bull,trend_down,2.5,217,123,94,56.7,49.3,2.17,Y,1.11,0.028,1.2,8.3
CDLLONGLEGGEDDOJI,bull,trend_down,2.75,217,123,94,56.7,49.8,2.01,Y,1.2,0.031,1.22,6.0
CDLLONGLEGGEDDOJI,bull,trend_down,3.0,217,123,94,56.7,48.5,2.41,Y,1.25,0.028,1.23,5.1
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,0.5,192,60,132,31.2,32.6,-0.4,N,-0.21,-0.039,0.96,67.2
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,0.75,192,85,107,44.3,39.8,1.28,N,0.34,0.003,1.06,46.4
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,1.0,192,96,96,50.0,48.0,0.54,N,0.45,0.012,1.08,33.3
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,1.25,192,101,91,52.6,48.0,1.28,N,0.55,0.013,1.1,24.5
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,1.5,192,105,87,54.7,48.5,1.72,Y,0.5,0.013,1.09,19.3
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,1.75,192,108,84,56.2,49.1,1.97,Y,0.94,0.034,1.17,14.1
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,2.0,192,108,84,56.2,49.0,2.0,Y,0.67,0.014,1.12,11.5
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,2.25,192,108,84,56.2,50.3,1.66,Y,0.72,0.023,1.13,8.9
