形态,方向,过滤器,最佳SL,交易数,胜率%,Z值,显著,盈亏比,盈亏/ATR,止损率%,是否达标
CDLHIKKAKE,bull,trend_up,1.5,172,59.3,2.94,Y,1.38,0.161,12.8,Y
CDLHIKKAKE,bear,rsi_mid_overbought,1.25,81,61.7,2.79,Y,1.19,0.15,18.5,Y
CDLLONGLEGGEDDOJI,bull,trend_down,3.0,217,56.7,2.41,Y,1.23,0.028,5.1,Y
CDLLONGLEGGEDDOJI,bull,rsi_mid_oversold,2.5,192,56.2,2.36,Y,1.07,0.001,8.9,Y
CDLDOJI,bull,rsi_mid_oversold,2.0,192,56.2,2.34,Y,1.12,0.014,11.5,Y
CDLMATCHINGLOW,bull,trend_down,2.0,28,67.9,2.31,Y,1.48,0.135,7.1,Y
CDLENGULFING,bear,rsi_mid_overbought,1.75,58,60.3,2.29,Y,1.29,0.196,8.6,Y
CDLDOJI,bull,trend_down,1.5,217,55.3,2.28,Y,1.19,0.041,18.9,Y
CDLLONGLINE,bear,atr_high,2.75,131,58.0,2.05,Y,1.66,0.233,3.1,Y
CDLMATCHINGLOW,bull,atr_low,2.5,27,63.0,2.04,Y,1.16,0.06,7.4,Y
CDLHIKKAKE,bear,atr_low,0.5,268,38.8,2.02,Y,1.31,0.094,56.7,N
CDLSHORTLINE,bear,rsi_oversold,2.25,23,65.2,1.99,Y,4.83,0.67,0.0,Y
CDLRICKSHAWMAN,bull,rsi_mid_oversold,2.25,136,56.6,1.96,Y,1.19,0.019,8.8,Y
CDLTAKURI,bull,atr_high,2.0,20,65.0,1.88,Y,1.78,0.181,0.0,Y
CDLADVANCEBLOCK,bear,none,1.5,28,64.3,1.86,Y,1.29,0.085,14.3,Y
CDLDRAGONFLYDOJI,bull,atr_high,2.0,20,65.0,1.76,Y,1.78,0.181,0.0,Y
CDLRICKSHAWMAN,bull,trend_down,2.25,148,55.4,1.74,Y,1.14,0.005,8.8,Y
CDLRICKSHAWMAN,bull,none,1.75,265,53.2,1.72,Y,1.14,nan,12.5,N
CDLADVANCEBLOCK,bear,trend_up,2.0,27,63.0,1.7,Y,1.12,0.006,11.1,Y
CDLSHORTLINE,bull,atr_high,2.0,151,55.6,1.67,Y,1.43,0.156,6.0,Y
CDLSPINNINGTOP,bear,rsi_mid_overbought,2.25,114,56.1,1.67,Y,1.13,0.032,4.4,Y
CDLDRAGONFLYDOJI,bull,rsi_mid_oversold,0.5,22,45.5,1.64,N,1.64,0.239,54.5,N
CDLMATCHINGLOW,bull,none,3.0,40,60.0,1.64,N,1.0,0.026,2.5,N
CDLMATCHINGLOW,bull,rsi_mid_oversold,1.75,23,60.9,1.54,N,1.23,0.075,8.7,N
CDLSHOOTINGSTAR,bear,atr_low,2.75,22,59.1,1.54,N,1.49,0.212,4.5,N
CDLENGULFING,bull,trend_down,1.5,167,52.1,1.49,N,0.94,-0.047,22.8,N
CDLLONGLEGGEDDOJI,bull,rsi_oversold,3.0,22,59.1,1.43,N,1.51,0.038,4.5,N
CDLHIKKAKE,bull,none,1.25,391,51.4,1.34,N,1.19,nan,21.2,N
CDLTAKURI,bull,trend_down,1.75,26,57.7,1.31,N,1.42,0.243,7.7,N
CDL3OUTSIDE,bear,rsi_mid_overbought,2.75,27,55.6,1.29,N,0.81,-0.133,3.7,N
CDLLONGLEGGEDDOJI,bull,atr_high,3.0,104,53.8,1.29,N,1.38,0.066,1.0,N
CDLSPINNINGTOP,bull,rsi_oversold,2.25,27,55.6,1.29,N,1.42,0.166,7.4,N
CDLRICKSHAWMAN,bull,atr_low,1.75,189,54.0,1.26,N,0.98,-0.032,15.3,N
CDLSHORTLINE,bear,rsi_mid_overbought,2.0,103,53.4,1.2,N,1.03,0.037,5.8,N
CDLHANGINGMAN,bear,atr_low,1.75,22,54.5,1.19,N,1.24,0.066,18.2,N
CDLDOJI,bull,rsi_oversold,2.0,22,59.1,1.18,N,1.55,0.063,13.6,N
CDLDRAGONFLYDOJI,bull,trend_down,2.0,26,57.7,1.18,N,1.44,0.248,3.8,N
CDLENGULFING,bear,atr_low,1.25,213,50.7,1.18,N,0.95,0.022,27.7,N
CDLMARUBOZU,bear,trend_down,0.5,62,33.9,1.16,N,0.83,-0.034,58.1,N
